Source,Target,Type,Id,Label,Weight,Normed,GroupSize,NormingSize
n0,n116,Directed,2,,1.0,0.0,10.0,152.0
n0,n175,Directed,10,,1.0,0.0,2.0,152.0
n0,n1932,Directed,4,,1.0,0.0,9.0,152.0
n0,n1957,Directed,11,,1.0,0.0,2.0,152.0
n0,n2503,Directed,5,,1.0,0.0,6.0,152.0
n0,n3009,Directed,12,,1.0,0.0,2.0,152.0
n0,n3290,Directed,6,,1.0,0.0,5.0,152.0
n0,n4960,Directed,13,,1.0,0.0,2.0,152.0
n0,n5215,Directed,7,,1.0,0.0,4.0,152.0
n0,n5218,Directed,9,,1.0,0.0,2.0,152.0
n0,n5384,Directed,1,,1.0,0.0,69.0,152.0
n0,n10016,Directed,3,,1.0,0.0,10.0,152.0
n0,n10602,Directed,8,,1.0,0.0,3.0,152.0
n1,n142,Directed,14,,1.0,0.0,49.0,152.0
n1,n153,Directed,15,,1.0,0.0,30.0,152.0
n1,n154,Directed,16,,1.0,0.0,9.0,152.0
n1,n1241,Directed,22,,1.0,0.0,2.0,152.0
n1,n1822,Directed,23,,1.0,0.0,2.0,152.0
n1,n2857,Directed,18,,1.0,0.0,3.0,152.0
n1,n2941,Directed,19,,1.0,0.0,3.0,152.0
n1,n3913,Directed,25,,1.0,0.0,2.0,152.0
n1,n4681,Directed,20,,1.0,0.0,3.0,152.0
n1,n5016,Directed,26,,1.0,0.0,2.0,152.0
n1,n6103,Directed,21,,1.0,0.0,2.0,152.0
n1,n8756,Directed,17,,1.0,0.0,4.0,152.0
n1,n9250,Directed,24,,1.0,0.0,2.0,152.0
n2,n370,Directed,33,,1.0,0.0,2.0,152.0
n2,n448,Directed,28,,1.0,0.0,11.0,152.0
n2,n1032,Directed,34,,1.0,0.0,2.0,152.0
n2,n2310,Directed,36,,1.0,0.0,2.0,152.0
n2,n2854,Directed,29,,1.0,0.0,7.0,152.0
n2,n3035,Directed,31,,1.0,0.0,3.0,152.0
n2,n3083,Directed,32,,1.0,0.0,3.0,152.0
n2,n3890,Directed,37,,1.0,0.0,2.0,152.0
n2,n4250,Directed,27,,1.0,0.0,86.0,152.0
n2,n6252,Directed,35,,1.0,0.0,2.0,152.0
n2,n9532,Directed,30,,1.0,0.0,4.0,152.0
n2,n9533,Directed,38,,1.0,0.0,2.0,152.0
n3,n646,Directed,45,,1.0,0.0,2.0,150.0
n3,n760,Directed,44,,1.0,0.0,3.0,150.0
n3,n2393,Directed,39,,1.0,0.0,68.0,150.0
n3,n2774,Directed,48,,1.0,0.0,2.0,150.0
n3,n3012,Directed,49,,1.0,0.0,2.0,150.0
n3,n4220,Directed,41,,1.0,0.0,10.0,150.0
n3,n4400,Directed,40,,1.0,0.0,27.0,150.0
n3,n5115,Directed,43,,1.0,0.0,6.0,150.0
n3,n5174,Directed,42,,1.0,0.0,7.0,150.0
n3,n7285,Directed,46,,1.0,0.0,2.0,150.0
n3,n7792,Directed,47,,1.0,0.0,2.0,150.0
n4,n5,Directed,51,,1.0,0.0,11.0,143.0
n4,n229,Directed,61,,1.0,0.0,2.0,143.0
n4,n625,Directed,62,,1.0,0.0,2.0,143.0
n4,n639,Directed,50,,1.0,0.0,17.0,143.0
n4,n640,Directed,63,,1.0,0.0,2.0,143.0
n4,n902,Directed,52,,1.0,0.0,9.0,143.0
n4,n1323,Directed,59,,1.0,0.0,3.0,143.0
n4,n2243,Directed,55,,1.0,0.0,6.0,143.0
n4,n2424,Directed,65,,1.0,0.0,2.0,143.0
n4,n2752,Directed,66,,1.0,0.0,2.0,143.0
n4,n3211,Directed,67,,1.0,0.0,2.0,143.0
n4,n3345,Directed,60,,1.0,0.0,3.0,143.0
n4,n3353,Directed,56,,1.0,0.0,5.0,143.0
n4,n3997,Directed,53,,1.0,0.0,8.0,143.0
